city,ingestion_timestamp,files_processed,status
bangkok,2026-06-25T15:01:19.268771,[],completed
bangkok,2026-06-25T15:04:01.658698,"['listings.csv.gz', 'listings.csv.gz', 'calendar.csv.gz', 'calendar.csv.gz', 'reviews.csv.gz', 'reviews.csv.gz', 'neighbourhoods.csv', 'neighbourhoods.csv', 'neighbourhoods.geojson', 'neighbourhoods.geojson']",completed
